Address,stCELO Balance,stCELO in USD (approximate),Contract,Snapshot Time
<a href=https://celoscan.io/address/0x60ac25da2ada3be14a2a8c04e45b072bed965966 target=_blank>0x60ac25da2ada3be14a2a8c04e45b072bed965966</a>,4266835.027657908,2173218.5509669473,Pair,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x8a1639098644a229d08f441ea45a63ae050ee018 target=_blank>0x8a1639098644a229d08f441ea45a63ae050ee018</a>,544416.8549312475,277286.74788842245,yes (but no data on dune),2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x08bafb4400a102dddc5e5d584abf0aa38e174c57 target=_blank>0x08bafb4400a102dddc5e5d584abf0aa38e174c57</a>,129682.18205266085,66050.76642051764,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0xdc5762753043327d74e0a538199c1488fc1f44cf target=_blank>0xdc5762753043327d74e0a538199c1488fc1f44cf</a>,64963.40213753721,33087.679683907554,RebasedStakedCelo,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb target=_blank>0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb</a>,58008.79471358094,29545.503393878753,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x7c9b206accb51f8d809d904f439bfaaaeb904f2a target=_blank>0x7c9b206accb51f8d809d904f439bfaaaeb904f2a</a>,54996.12144844656,28011.06454509439,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x9176779f5617db41cc11aef0d46e2113b682b55c target=_blank>0x9176779f5617db41cc11aef0d46e2113b682b55c</a>,50074.914386318924,25504.555994555045,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x46c5cfc2079309f4e7d9476a01730a60e2f1a164 target=_blank>0x46c5cfc2079309f4e7d9476a01730a60e2f1a164</a>,34753.33693247457,17700.847593143408,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x0a336306692f753c7cb0152e8f8eb70e3ce2dafb target=_blank>0x0a336306692f753c7cb0152e8f8eb70e3ce2dafb</a>,29061.798947547573,14801.98793435651,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x7a1f69add7bc3d739438762d506a2d4ec1d423cf target=_blank>0x7a1f69add7bc3d739438762d506a2d4ec1d423cf</a>,23908.55780750214,12177.29793097945,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x9fcd7d9e934ac04e5c7eae5bd7dc938fcdba84cb target=_blank>0x9fcd7d9e934ac04e5c7eae5bd7dc938fcdba84cb</a>,21437.33529369791,10918.63511046857,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0xa72dfb06e984cdab5ef6047f2c8a79db4335fa64 target=_blank>0xa72dfb06e984cdab5ef6047f2c8a79db4335fa64</a>,20965.682035560425,10678.40889980792,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x6e42ce2fd45ff9b97a55d96f5a998dd8de2b2bfb target=_blank>0x6e42ce2fd45ff9b97a55d96f5a998dd8de2b2bfb</a>,20075.872746014575,10225.204113982112,,2023-07-15 12:00:00.000
<a href=https://celoscan.io/address/0x8b4ac53a5a684e668a685777b3563cda1c4588c2 target=_blank>0x8b4ac53a5a684e668a685777b3563cda1c4588c2</a>,18905.082337692245,9628.887776892116,,2023-07-15 12:00:00.000
